"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6048","Создание заказа с авторизацией","","2026-08-22","passed","2026-08-22","TestApi","test_api","",""
"","1527","Создание заказа без авторизации","","2026-08-22","passed","2026-08-22","TestApi","test_api","",""
"","1545","Создание пользователя, который уже зарегистрирован","","2026-08-22","passed","2026-08-22","TestApi","test_api","",""
"","5948","Создание заказа с ингредиентами","","2026-08-22","passed","2026-08-22","TestApi","test_api","",""
"","876","Создание пользователя без одного из обязательных полей","","2026-08-22","passed","2026-08-22","TestApi","test_api","",""
"","796","Создание пользователя без одного из обязательных полей","","2026-08-22","passed","2026-08-22","TestApi","test_api","",""
"","1695","Создание заказа без ингредиентов","","2026-08-22","passed","2026-08-22","TestApi","test_api","",""
"","1677","Логин под существующим пользователем","","2026-08-22","passed","2026-08-22","TestApi","test_api","",""
"","943","Создание уникального пользователя","","2026-08-22","passed","2026-08-22","TestApi","test_api","",""
"","1598","Создание заказа с неверным хешем ингредиентов","","2026-08-22","passed","2026-08-22","TestApi","test_api","",""
"","776","Логин с неверным логином и паролем","","2026-08-22","passed","2026-08-22","TestApi","test_api","",""
"","746","Создание пользователя без одного из обязательных полей","","2026-08-22","passed","2026-08-22","TestApi","test_api","",""
